Pressure (Torr),Ga_mmol,Ga_amount,Ga_Conc (mol/l),N_mmol,N_amount,N_Conc (mol/l),Ga/N molar ratio,Solvent_ml,PH ,Growth Temperature (0C),Diameter (nm),Height (nm),Time (h),ΦAl / φMetal
0,20.0,5.12,0.0,0.0,0.0,0.0,0.0,0,0.0,800,5.0,0.0,16.0,0.0
0,40.0,2.8,1.17,0.0,0.0,0.0,0.0,34,9.0,950,10.4,0.0,2.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,280,30.0,0.0,6.0,0.0
0,20.0,5.12,0.0,0.0,0.0,0.0,0.0,0,0.0,900,8.0,0.0,16.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0,0.0,965,20.0,4.0,0.0,0.0
0,17.0,0.3,0.0,51.1,3.3,0.0,0.33,0,0.0,220,50.0,0.0,24.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0,0.0,1170,7.4,0.0,0.0,0.0
0,40.0,2.8,1.17,0.0,0.0,0.0,0.0,34,4.8,950,26.6,0.0,2.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0,0.0,1170,5.4,0.0,0.0,0.0
0,40.0,2.8,1.17,0.0,0.0,0.0,0.0,34,2.1,950,23.6,0.0,2.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0,0.0,960,0.0,4.4,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0,0.0,1145,4.8,0.0,0.0,0.0
